Product ID,Product Name
SBD-PT-01,"20V Cordless Drill Driver Kit"
SBD-PT-002,"Circular Saw 15Amp 7-1/4in"
SBD-PT-3,"18V Cordless Impact Driver"
SBD-PT-004,"Cordless Reciprocating Saw 20V MAX"
SBD-PT-5,"12V Cordless Drill Driver"
SBD-PT-6,"1/2in VSR Hammer Drill"
SBD-PT-007,"18V Jig Saw Cordless"
SBD-PT-08,"Cordless Angle Grinder 20V MAX"
SBD-PT-9,"10in Compound Miter Saw"
SBD-PT-010,"6 Gallon Air Compressor Pancake"
SBD-HT-1,"Fiberglass Claw Hammer 16 oz"
SBD-HT-002,"Screwdriver Set 6 Piece"
SBD-HT-003,"Tape Measure 25ft"
SBD-HT-4,"Combination Wrench Set SAE 10pc"
SBD-HT-005,"8in Slip Joint Pliers"
,"Cordless Drill"
,"Hammer Drill"
,"Tape Measure"
,"Reciprocating Saw"
,"Angle Grinder"
SBD-AP-001,"Cordless Coffee Maker"
SBD-EL-001,"Wireless Bluetooth Speaker"
SBD-AP-002,"Electric Kettle 1.7L"
SBD-WR-001,"Fitness Tracker Watch"
SBD-SC-001,"Smart Home Security Camera"
